lemma,part_of_speech,antonyms
consistent,adjective,inconsistent
consolable,adjective,inconsolable
consonant,noun,vowel
consonantal,adjective,vocalic
conspicuous,adjective,inconspicuous
constant,adjective,inconstant
constipated,adjective,unconstipated
constituted,adjective,unestablished
constitutional,adjective,unconstitutional
constricted,adjective,unconstricted
constructive,adjective,destructive
consuming,verb,abstain
consummated,adjective,unconsummated
consumptive,adjective,generative
contaminated,verb,decontaminate
contaminated,adjective,uncontaminated
contaminating,verb,decontaminate
contaminating,adjective,clean
contemptible,adjective,estimable
content,verb,discontent
content,adjective,discontented
contented,verb,discontent
contented,adjective,discontented
contestable,adjective,incontestable
contested,adjective,uncontested
continent,adjective,incontinent
continental,adjective,intercontinental
continual,adjective,sporadic
continuant,noun,stop consonant
continued,verb,discontinue
continued,adjective,discontinued
continuing,verb,discontinue
continuous,adjective,discontinuous
contraclockwise,adjective,clockwise
contracted,verb,stretch
contracted,adjective,expanded
contralateral,adjective,ipsilateral
contrapuntal,adjective,monophonic
contrasty,adjective,flat
controlled,adjective,uncontrolled
controversial,adjective,uncontroversial
convenient,adjective,inconvenient
conventional,adjective,unconventional
convergent,adjective,divergent
convertible,adjective,inconvertible
convex,adjective,concave
convinced,adjective,unconvinced
convincing,adjective,unconvincing
cooked,adjective,raw
cool,verb,heat
cool,adjective,warm
cooperative,adjective,uncooperative
coordinating,adjective,subordinating
coordinative,adjective,subordinating
corked,verb,uncork
corking,verb,uncork
corporeal,adjective,incorporeal
correct,verb,falsify
correct,adjective,incorrect
corrected,verb,falsify
corrected,adjective,uncorrected
corresponding,verb,disagree
corrigible,adjective,incorrigible
corrupt,adjective,incorrupt
cosmopolitan,adjective,endemic
costive,adjective,laxative
counterclockwise,adjective,clockwise
counterclockwise,adverb,clockwise
counterfeit,adjective,genuine
counterrevolutionary,adjective,revolutionary
coupled,verb,uncouple
courageous,adjective,cowardly
courteous,adjective,discourteous
cousinly,adjective,uncousinly
covered,verb,uncover
covered,adjective,bare
covert,adjective,overt
cowardly,adjective,brave
crannied,adjective,uncrannied
creative,adjective,uncreative
credible,adjective,incredible
credited,verb,debit
credulous,adjective,incredulous
crescendo,verb,decrescendo
critical,adjective,uncritical
crooked,adjective,straight
cross,verb,uncross
cross-eyed,adjective,walleyed
crossbred,adjective,purebred
crossed,verb,uncross
crossed,adjective,uncrossed
crosswise,adjective,lengthwise
crowded,adjective,uncrowded
crowned,adjective,uncrowned
crownless,adjective,crowned
crucial,adjective,noncrucial
crude,adjective,refined
crying,verb,laugh
crystalline,adjective,noncrystalline
crystallised,adjective,uncrystallized
crystallized,adjective,uncrystallized
cubic,adjective,linear
cultivated,adjective,uncultivated
curable,adjective,incurable
curdled,verb,homogenize
curious,adjective,incurious
curled,verb,uncoil
curling,verb,uncoil
curly,adjective,straight
current,adjective,noncurrent
cursed,verb,bless
cursed,adjective,blessed
cursorial,adjective,fossorial
curst,verb,bless
curst,adjective,blessed
curtained,adjective,curtainless
curtainless,adjective,curtained
curved,adjective,straight
curving,adjective,straight
custom,adjective,ready-made
custom-built,noun,ready-made
custom-made,noun,ready-made
custom-made,adjective,ready-made
cut,verb,switch on
cut,adjective,uncut
cutting,verb,switch on
cyclic,adjective,acyclic
cyclical,adjective,noncyclic
damaged,adjective,undamaged
damn,verb,bless
damned,verb,bless
damning,verb,bless
dangerous,adjective,safe
daring,noun,timidity
dark,noun,light
dark,adjective,light
darkened,verb,lighten
darkening,verb,lighten
datable,adjective,undatable
dateable,adjective,undatable
de-iodinating,verb,iodinate
de-iodinating,adjective,iodinating
de facto,adjective,de jure
de jure,adjective,de facto
de jure,adverb,unlawfully
dead,noun,living
dead,adjective,alive
deadened,verb,enliven
deadening,verb,enliven
deaf,adjective,hearing
debilitating,adjective,invigorating
deceased,verb,be born
decent,adjective,indecent
decent,adverb,improperly
decentralised,verb,centralize
decentralised,adjective,centralized
decentralising,verb,centralize
decentralising,adjective,centralizing
decentralized,verb,centralize
decentralized,adjective,centralized
decentralizing,verb,centralize
decentralizing,adjective,centralizing
deciduous,adjective,evergreen
deciphered,verb,encode
deciphered,adjective,undeciphered
decisive,adjective,indecisive
declarative,adjective,interrogative
declaratory,adjective,interrogative
declared,adjective,undeclared
declassified,verb,classify
deconsecrated,verb,consecrate
decorated,adjective,unadorned
decorous,adjective,indecorous
decreased,verb,increase
decreased,adjective,increased
decreasing,verb,increase
decreasing,adjective,increasing
decrescendo,verb,crescendo
