lemma,part_of_speech,antonyms,type
dryer,adjective,wet|wet|wet|wet|sweet|phlegmy,human industry
easterner,adjective,western|western,country
fresher,adjective,stale|preserved|salty,establishment
highlander,adjective,lowland,country landscape
lighter,adjective,heavy|dark|heavy|heavy|heavy|dark|heavy|heavy,human
offerer,adjective,on|on,country industry
smoother,adjective,rough|rough|staccato|rough,landscape
steeper,adjective,gradual,country
tamer,adjective,wild|wild,country
westerner,adjective,eastern|eastern,country
wetter,adjective,dry|dry|dry|dry,landscape industry
wilder,adjective,tame|tame,human country
flatter,adjective,contrasty|natural,animal
