lemma,part_of_speech,antonyms
collapsible,adjective,noncollapsible
collateral,adjective,lineal
collected,adjective,uncollected|ungathered
collective,adjective,distributive
color,adjective,black-and-white
colored,adjective,uncolored
colorful,adjective,colorless|colorless|colourless|uncolored
colorless,adjective,colorful|colourful|colorful
colour,adjective,black-and-white
coloured,adjective,uncolored
colourful,adjective,colorless|colourless|colorless
colourless,adjective,colorful|colourful|colorful
columned,adjective,noncolumned
combed,adjective,uncombed
combinative,adjective,noncombinative
combinatory,adjective,noncombinative
combined,adjective,uncombined
combustible,adjective,noncombustible
comestible,adjective,inedible
comfortable,adjective,uncomfortable|uncomfortable
comfy,adjective,uncomfortable
commensurate,adjective,incommensurate
commercial,adjective,noncommercial
commissioned,adjective,noncommissioned
committed,adjective,uncommitted|unattached
commodious,adjective,incommodious
common,adjective,individual|uncommon
communicative,adjective,uncommunicative
communicatory,adjective,uncommunicative
commutable,adjective,incommutable
compact,adjective,loose
comparable,adjective,incomparable
comparative,adjective,absolute
compartmented,adjective,uncompartmented
compassionate,adjective,uncompassionate
compatible,adjective,incompatible|incompatible
competent,adjective,incompetent|incompetent
competitive,adjective,noncompetitive
competitory,adjective,noncompetitive
complaining,adjective,uncomplaining
complaintive,adjective,uncomplaining
complete,adjective,incomplete
complex,adjective,simple
compliant,adjective,defiant
complimentary,adjective,uncomplimentary
composed,adjective,discomposed
compound,adjective,simple
comprehendible,adjective,incomprehensible
comprehensible,adjective,incomprehensible
comprehensive,adjective,noncomprehensive
compressible,adjective,incompressible
compromising,adjective,uncompromising
concave,adjective,convex
concealed,adjective,unconcealed
concealing,adjective,revealing
concentrated,adjective,distributed|soft|unsaturated
concentric,adjective,eccentric
concentrical,adjective,eccentric
concerned,adjective,unconcerned
conciliative,adjective,antagonistic
conciliatory,adjective,uncompromising|antagonistic
concise,adjective,prolix
conclusive,adjective,inconclusive
concrete,adjective,abstract
conditional,adjective,unconditional
conditioned,adjective,unconditioned
conductive,adjective,nonconductive
confident,adjective,diffident
confined,adjective,invasive|unconfined
confirmed,adjective,unconfirmed
confirming,adjective,negative
conformist,adjective,nonconformist
confused,adjective,clearheaded
congenial,adjective,uncongenial
congruent,adjective,incongruous|incongruent
congruous,adjective,incongruous
conjunct,adjective,disjunct
conjunctive,adjective,disjunctive
connate,adjective,adnate
connected,adjective,unconnected
connotative,adjective,denotative
conquerable,adjective,unconquerable
conscientious,adjective,unconscientious
conscious,adjective,unconscious
consecrate,adjective,desecrated
consecrated,adjective,desecrated
conservative,adjective,liberal
considerable,adjective,inconsiderable
considerate,adjective,inconsiderate
consistent,adjective,inconsistent|unreproducible|incoherent
consolable,adjective,inconsolable
consonantal,adjective,vocalic
conspicuous,adjective,inconspicuous
constant,adjective,inconstant
constipated,adjective,unconstipated
constituted,adjective,unestablished
constitutional,adjective,unconstitutional
constricted,adjective,unconstricted
constructive,adjective,destructive
consummated,adjective,unconsummated
consumptive,adjective,generative
contaminated,adjective,uncontaminated
contaminating,adjective,clean
contemptible,adjective,estimable
content,adjective,discontented
contented,adjective,discontented
contestable,adjective,incontestable
contested,adjective,uncontested
continent,adjective,incontinent
continental,adjective,intercontinental
continual,adjective,sporadic
continued,adjective,discontinued
continuous,adjective,discontinuous|discontinuous
contraclockwise,adjective,clockwise
contracted,adjective,expanded
contralateral,adjective,ipsilateral
contrapuntal,adjective,monophonic
contrasty,adjective,flat
controlled,adjective,uncontrolled
controversial,adjective,uncontroversial
convenient,adjective,inconvenient|incommodious
conventional,adjective,unconventional|nuclear|unconventional
convergent,adjective,divergent
convertible,adjective,inconvertible
convex,adjective,concave
convinced,adjective,unconvinced
convincing,adjective,unconvincing
cooked,adjective,raw
cool,adjective,warm|warm|warm
cooperative,adjective,uncooperative
coordinating,adjective,subordinating
coordinative,adjective,subordinating
corporeal,adjective,incorporeal
correct,adjective,incorrect|wrong|wrong
corrected,adjective,uncorrected
corrigible,adjective,incorrigible
corrupt,adjective,incorrupt|straight
cosmopolitan,adjective,endemic|provincial
costive,adjective,laxative
counterclockwise,adjective,clockwise
counterfeit,adjective,genuine
counterrevolutionary,adjective,revolutionary
courageous,adjective,cowardly
courteous,adjective,discourteous
cousinly,adjective,uncousinly
covered,adjective,bare
covert,adjective,overt
cowardly,adjective,brave
crannied,adjective,uncrannied
creative,adjective,uncreative
credible,adjective,incredible
credulous,adjective,incredulous
critical,adjective,uncritical|noncritical|uncritical|noncritical
crooked,adjective,straight|straight
cross-eyed,adjective,walleyed
crossbred,adjective,purebred
crossed,adjective,uncrossed|uncrossed
crosswise,adjective,lengthwise
crowded,adjective,uncrowded
crowned,adjective,uncrowned|unlaureled|uncrowned
crownless,adjective,crowned
crucial,adjective,noncrucial
crude,adjective,refined
crystalline,adjective,noncrystalline
crystallised,adjective,uncrystallized
crystallized,adjective,uncrystallized
cubic,adjective,linear
cultivated,adjective,uncultivated
curable,adjective,incurable
curious,adjective,incurious
curly,adjective,straight
current,adjective,noncurrent
cursed,adjective,blessed
cursorial,adjective,fossorial
curst,adjective,blessed
curtained,adjective,curtainless
curtainless,adjective,curtained
curved,adjective,straight
curving,adjective,straight
custom,adjective,ready-made
custom-made,adjective,ready-made
cut,adjective,uncut|uncut|untrimmed|unmown|uncut
cyclic,adjective,acyclic|acyclic|noncyclic
cyclical,adjective,noncyclic
damaged,adjective,undamaged
dangerous,adjective,safe
dark,adjective,light|light
datable,adjective,undatable
dateable,adjective,undatable
de-iodinating,adjective,iodinating
de facto,adjective,de jure
de jure,adjective,de facto
dead,adjective,alive|live
deaf,adjective,hearing
debilitating,adjective,invigorating
decent,adjective,indecent
decentralised,adjective,centralized
decentralising,adjective,centralizing
decentralized,adjective,centralized
decentralizing,adjective,centralizing
deciduous,adjective,evergreen
